edu	1372920
adsk	769397
azo	866787
lulu	1397187
cof	927628
fcx	831259
lng	3570
aph	820313
ngg	1004315
vlo	1035002
payx	723531
bsbr	1471055
hmc	715153
nxpi	1413447
stla	1605484
khc	1637459
bce	718940
exc	1109357
enph	1463101
tak	1395064
kmi	1506307
ctas	723254
smfg	1022837
crwd	1535527
e	1002242
kmb	55785
syy	96021
tel	1385157
rop	882835
trv	86312
gld	1222333
msi	68505
a	1090872
wmb	107263
iqv	1478242
xel	72903
afl	4977
mrvl	1835632
jci	833444
lyg	1160106
hes	4447
wday	1327811
wcn	1318220
et	1276187
ajg	354190
gpn	1123360
cve	1475260
tt	1466258
hlt	1585689
msci	1408198
ing	1039765
all	899051
bk	1390777
bf-a	14693
scco	1001838
nwg	844150
anet	1596532
o	726728
psx	1534701
mchp	827054
bbd	1160330
kr	56873
ea	712515
rivn	1874178
carr	1783180
pru	1137774
bntx	1776985
dow	1751788
ed	1047862
ph	76334
apo	1858681
nio	1736541
vod	839923
se	1703399
nem	1164727
yum	1041061
twtr	1418091
peg	788784
mplx	1552000
bcs	312069
mfc	1086888
alb	915913
nue	73309
sbac	1034054
alc	1167379
ctsh	1058290
rmd	943819
spg	1063761
tdg	1260221
stm	932787
bbva	842180
ttd	1671933
imo	49938
ifnny	1107457
cpng	1834584
sq	1512673
wec	783325
dlr	1297996
well	766704
danoy	1048515
rost	745732
ilmn	1110803
gfs	1709048
amp	820027
dltr	935703
iau	1278680
biib	875045
puk	1116578
lvs	1300514
keys	1601046
es	72741
cmi	26172
sqm	909037
ddog	1561550
pcar	75362
idxx	874716
vrsk	1442145
dfs	1393612
wba	1618921
bax	10456
tlk	1001807
pcg	1004980
odfl	878927
tu	868675
on	1097864
otis	1781335
cht	1132924
hpq	47217
abc	1140859
ibkr	1381197
kkr	1404912
mfg	1335730
ppery	1461748
hcmly	948696
dell	1571996
csgp	1057352
ppg	79879
mtd	1037646
dd	1666700
rok	1024478
expgy	1376891
avb	915912
caixy	1535628
ame	1037868
baesy	895564
ceg	1868275
dnbby	1498632
oke	1039684
glw	24741
wit	1123799
nok	924613
gww	277135
eqr	906107
rweoy	939380
crh	849395
fast	815556
lcid	1811210
gold	756894
veev	1393052
awk	1410636
iff	51253
oran	1038143
cqp	1383650
ebay	1065088
li	1791706
hal	45012
frc	1132979
cprt	900075
lyb	1489393
cbre	1138118
tsn	100493
aptv	1521332
stt	93751
eix	827052
clr	732834
sgen	1060736
slf	1097362
trow	1113169
nu	1691493
dte	936340
dia	1041130
rblx	1315098
ferg	1832433
ctra	858470
exr	1289490
alny	1178670
hrl	48465
it	749251
dhi	882184
zs	1713683
mdy	936958
fitb	35527
fang	1539838
zbh	1136869
mtb	36270
k	55067
wegzy	1445166
gmab	1434265
arzgy	1379235
zm	1585521
caj	16988
siri	908937
fmx	1061736
aee	1002910
wy	106535
epam	1352010
are	1035443
etr	65984
ckhuy	1637120
ftv	1659166
fe	1031296
cdw	1402057
ulta	1403568
zto	1677250
vwdry	1330306
efx	33185
eric	717826
wtw	1140536
fnv	1456346
len	920760
hig	874766
rjf	720005
sivb	719739
lgfry	1554394
gwlif	850918
invh	1687229
dash	1792789
tef	814052
gpc	40987
lnngy	1447629
cm	1045520
luv	92380
ccep	1650107
cf	1324404
ppl	922224
yumc	1673358
vmc	1396009
net	1477333
lh	920148
ec	1444406
tsco	916365
rf	1281761
dal	27904
rci	733099
bkr	1701605
ttm	926042
payc	1590955
anss	1013462
mlm	916076
codyy	1012037
hban	49196
mkc	63754
dre	783280
uri	1067701
mro	101778
vici	1705696
lyv	1335258
pfg	1126328
poahy	1450346
fts	1666175
wst	105770
cnp	1130310
coin	1679788
tscdy	885834
ir	1699150
moh	1179929
ste	1757898
mt	1243429
spot	1639920
algn	1097149
mos	1285785
ntrs	73124
argx	1697862
pwr	1050915
pba	1546066
vrsn	1014473
mpwr	1280452
cms	811156
hei	46619
chd	313927
db	1159508
ptaiy	1455967
snap	1564408
maa	912595
br	1383312
agr	1634997
atasy	1437775
foxa	1754301
vtr	740260
gib	1061574
ix	1070304
ui	1511737
cah	721371
lpla	1397911
qsr	1618756
pcrfy	63271
jbht	728535
acgl	947484
eqt	33213
rprx	1802768
amcr	1748790
wat	1000697
podd	1145197
syf	1601712
aes	874761
panw	1327567
zi	1794515
anyyy	1700171
sui	912593
dov	29905
rol	84839
bby	764478
tdy	1094285
bro	79282
clx	21076
teck	886986
bgne	1651308
holx	859737
xyl	1524472
iclr	1060955
ess	920522
dri	940944
hpe	1645590
plug	1093691
elp	1041792
fds	1013237
tcom	1269238
key	91576
tsgty	939383
grmn	1121788
pins	1506293
mga	749098
pki	31791
flt	1175454
swks	4127
trgp	1389170
cnhi	1567094
sedg	1419612
expd	746515
wab	943452
mtch	891103
expe	1324424
bill	1786352
mkl	1096343
ts	1190723
lbrda	1611983
bmrn	1048477
mgm	789570
cag	23217
cinf	20286
cfg	759944
pltr	1321655
swmay	1011218
vfc	103379
chkp	1015922
zbra	877212
ryaay	1038683
csl	790051
umc	1033767
iex	832101
snmry	1437771
evrg	1711269
mdb	1441816
phg	313216
wpc	1025378
hldcy	811250
irm	1020569
j	52988
ip	51434
ntap	1002047
ctlt	1596783
lsxma	1560385
dgx	1022079
incy	879169
chwy	1766502
ato	731802
stld	1022671
lnt	352541
sjm	91419
azpn	1897982
rkt	1805284
trmb	864749
tw	1758730
tyl	860731
avy	8818
splk	1353283
coo	711404
ttwo	946581
omc	29989
hwm	4281
smpny	1669414
sgioy	1281721
hznp	1492426
akam	1086222
hubs	1404655
jkhy	779152
wpm	1323404
iep	813762
lkq	1065696
etsy	1370637
jrony	1438077
cpb	16732
bio	12208
avtr	1722482
txt	217346
xpev	1810997
znh	1041668
l	60086
fslr	1274494
wmg	1319161
chrw	1043277
swk	93556
nvr	906163
pcty	1591698
stx	1137789
udr	74208
twlo	1447669
peak	765880
kb	1445930
kmx	1170010
fmc	37785
tpl	1811074
ssnc	1402436
wolf	895419
prdsy	1527249
ptc	857005
ter	97210
ebr	1439124
ovv	1792580
viv	1066119
cpt	906345
pool	945841
gnrc	1474735
shg	1263043
tru	1552033
apa	1841666
ares	1176948
kof	910631
els	895417
ndsn	72331
ldos	1336920
rcl	884887
hst	1070750
bxp	1037540
ctxs	877890
aci	1646972
rgen	730272
bg	1144519
frfhf	915191
nice	1003935
cs	1159510
kim	879101
ccl	815097
dpz	1286681
cnttq	1652499
cboe	1374310
fhn	36966
sjr	932872
gddy	1609711
entg	1101302
bip	1406234
pkg	75677
ual	100517
nlok	849399
pkx	889132
fico	814547
ar	1433270
cck	1219601
tech	842023
bah	1443646
ben	38777
atlky	748954
vst	1692819
chk	895126
dar	916540
wlk	1262823
abmd	815094
hubb	48898
wrb	11544
mas	62996
eqh	1333986
docu	1261333
amh	1562401
htht	1483994
rpm	110621
glpi	1575965
wdc	106040
emraf	1127248
ce	1306830
ssl	314590
erie	922621
ptbry	1504122
vtrs	1792044
wtrg	78128
y	775368
bouyy	1445475
ccj	1009001
sna	91440
asx	1122411
wes	1423902
jxhly	1487533
cea	1030475
ni	1111711
aer	1378789
lw	1679273
fnf	1331875
ally	40729
suz	909327
cuk	1125259
re	1095073
cg	1527166
rs	861884
nfe	1749723
u	1810806
afg	1042046
dqjcy	1446597
tap	24545
grab	1855612
dt	1773383
mmp	1126975
nrg	1013871
ipg	51644
xp	1787425
emn	915389
tfx	96943
ggg	42888
icl	941221
sbny	1288784
snn	845982
has	46080
mgddy	896076
nmr	1163653
bldr	1316835
nly	1043219
bep	1533232
wso	105016
ewbc	1069157
cma	28412
bki	1627014
ihg	858446
aap	1158449
zshgy	1495686
bj	1531152
cna	21175
bntgy	1533945
gl	320335
crl	1100682
h	1468174
tost	1650164
uhal	4457
ateyy	1158838
qgen	1015820
ndaq	1120193
nwsa	1564708
acm	868857
wrk	1732845
bap	1001290
nbix	914475
wpp	806968
lbtya	1570585
wsm	719955
dox	1062579
aem	2809
sci	89089
swav	1642545
reg	910606
nlsn	1492633
hsic	1000228
czr	1590895
uthr	1082554
roku	1428439
dks	1089063
bhvn	1689813
jhx	1159152
rrx	82811
phm	822416
fms	1333141
agl	1831097
morn	1289419
teva	818686
bsy	1031308
gfl	1780232
mktx	1278021
okta	1660134
armk	1584509
gshn	1639327
lsi	944314
srpt	873303
bbwi	701985
dbrg	1679688
wms	1604028
lamr	1090425
cube	1298675
nvcr	1645113
asxfy	1449003
dva	927066
wsc	1647088
ttc	737758
qrvo	1604778
hood	1783879
aeg	769218
lnvgy	932477
zg	1617640
bch	1161125
jazz	1232524
deck	910521
mtn	812011
hii	1501585
tfii	1588823
zen	1463172
burl	1579298
aal	6201
zion	10938…
