Symbol,SE,Net Income,ROE
PINS,3090680000.0,-35610000.0,-0.011521736316927
MKC,5083500000.0,624200000.0,0.1227894167404347
HBAN,19398000000.0,1400000000.0,0.0721723889060727
RF,17493000000.0,2074000000.0,0.1185617103984451
BLDR,4732351000.0,1540555000.0,0.3255369265720146
PSTG,941233000.0,73071000.0,0.0776332746514412
BALL,3837000000.0,711000000.0,0.1853010164190774
CLX,388000000.0,161000000.0,0.4149484536082474
SYF,13903000000.0,2238000000.0,0.1609724519887794
APTV,11844000000.0,2966000000.0,0.2504221546774738
STLD,8839527000.0,2467332000.0,0.2791248898272498
DRI,2201500000.0,981900000.0,0.446014081308199
PFG,11210600000.0,670100000.0,0.0597737855244144
SSNC,6397700000.0,608600000.0,0.0951279366022164
NTRS,11897900000.0,1107300000.0,0.0930668437287252
CTRA,13047000000.0,1625000000.0,0.1245497049130068
WSM,1701051000.0,8674417000.0,5.09944557805733
AVTR,5252600000.0,321100000.0,0.06113163004988
SWKS,6082700000.0,982800000.0,0.161572985680701
CRBG,12635000000.0,1036000000.0,0.081994459833795
RPRX,10084289000.0,1700088000.0,0.1685877903737189
RYAN,979644000.0,194480000.0,0.1985210954183356
ENPH,983624000.0,2290786000.0,2.328924467072784
GEN,2200000000.0,3338000000.0,1.517272727272727
AMCR,4090000000.0,1058000000.0,0.258679706601467
MRO,11205000000.0,42000000.0,0.0037483266398929
KEY,14637000000.0,967000000.0,0.0660654505704721
THC,5508000000.0,-23000000.0,-0.0041757443718228
BSY,883982000.0,326787000.0,0.3696760793771819
AKAM,4597155000.0,547629000.0,0.1191234578777526
WMG,430000000.0,41000000.0,0.0953488372093023
CPB,3663000000.0,858000000.0,0.2342342342342342
DT,1604869000.0,107959000.0,0.0672696650006947
TOL,6813202000.0,1372071000.0,0.2013841656243276
WES,3029130000.0,1048007000.0,0.3459762374014981
PNR,3217100000.0,622900000.0,0.1936215846569892
GLPI,4508954000.0,755370000.0,0.1675266591763854
TRMB,4500100000.0,311300000.0,0.0691762405279882
CAVA,570802000.0,13280000.0,0.0232655106324084
EQH,5158000000.0,1643000000.0,0.3185343156262117
WPC,8706997000.0,708264000.0,0.0813442338386013
ELS,1498621000.0,329677000.0,0.2199869079640549
ALLY,13766000000.0,8214000000.0,0.5966874909196571
REG,7191935000.0,370867000.0,0.0515670678336219
YUMC,7119000000.0,1226000000.0,0.1722151987638713
SJM,7290800000.0,-91300000.0,-0.0125226312613156
FLEX,5706000000.0,683000000.0,0.1196985629162285
CNH,8234000000.0,2383000000.0,0.2894097643915472
IPG,4046100000.0,9400600000.0,2.3233731247374014
HST,6826000000.0,752000000.0,0.1101670084969235
JBL,2867000000.0,34702000000.0,12.10394140216254
CHRW,1418697000.0,325129000.0,0.2291743762057719
DOCU,617287000.0,-97454000.0,-0.1578747000989815
FND,1930990000.0,245980000.0,0.1273854344144713
PFGC,3745500000.0,397200000.0,0.1060472567080496
CUBE,2880808000.0,412435000.0,0.1431664310846123
PR,9229748000.0,211000.0,2.286086250675533e-05
FTI,3172100000.0,56200000.0,0.0177169698307115
OVV,10370000000.0,2510000000.0,0.2420443587270974
TAP,13435100000.0,956400000.0,0.0711866677583345
CHWY,160268000.0,49899000.0,0.3113472433673597
NVT,3142100000.0,567100000.0,0.1804843894210878
ESTC,398897000.0,-236161000.0,-0.5920350366134616
BEN,13573900000.0,1103400000.0,0.0812883548574838
SKX,4400042000.0,649923000.0,0.1477083627838098
CNM,2410000000.0,581000000.0,0.2410788381742738
SFM,1148547000.0,258856000.0,0.2253769327680974
UNM,9651400000.0,1283800000.0,0.1330169716310587
OHI,3762291000.0,248796000.0,0.0661288560613732
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
